Date,Open,High,Low,Close,Adj Close,Volume
2013-07-25,64.900002,65.250000,64.650002,65.029999,54.176964,1700100
2013-07-26,64.720001,65.349998,64.480003,65.000000,54.151981,1836700
2013-07-29,64.750000,65.349998,64.750000,65.230003,54.343601,1438900
2013-07-30,65.339996,65.589996,64.769997,64.889999,54.060337,2499300
2013-07-31,65.180000,65.300003,63.980000,64.160004,53.452175,2549300
2013-08-01,64.500000,64.709999,63.619999,63.939999,53.268887,2236700
2013-08-02,63.730000,64.660004,63.730000,64.430000,53.677105,1377700
2013-08-06,64.000000,64.410004,63.250000,64.040001,53.352196,2413300
2013-08-07,63.599998,63.840000,63.200001,63.430000,52.843987,2689600
2013-08-08,63.270000,64.300003,63.270000,64.080002,53.385521,1641800
2013-08-09,63.900002,64.000000,63.430000,63.700001,53.068943,1390500
2013-08-12,63.500000,63.650002,63.070000,63.330002,52.760689,1357400
2013-08-13,63.360001,64.339996,63.290001,64.050003,53.360527,1711100
2013-08-14,64.139999,64.209999,63.750000,63.930000,53.260551,1305400
2013-08-15,63.700001,63.910000,63.419998,63.860001,53.202236,1983600
2013-08-16,63.619999,64.669998,63.619999,64.360001,53.618790,1765100
2013-08-19,64.230003,64.440002,63.880001,64.019997,53.335533,1528900
2013-08-20,64.000000,65.099998,63.930000,64.669998,53.877056,2635400
2013-08-21,64.440002,64.809998,63.950001,64.580002,53.802082,1828500
2013-08-22,64.680000,65.040001,64.199997,64.459999,53.702103,1935200
2013-08-23,64.599998,65.209999,64.559998,65.120003,54.251957,1979000
2013-08-26,65.250000,65.440002,64.879997,64.889999,54.060337,2098100
2013-08-27,64.760002,64.849998,63.759998,64.349998,53.610466,2243200
2013-08-28,64.089996,64.519997,63.860001,64.489998,53.727089,1830700
2013-08-29,65.360001,65.570000,65.010002,65.239998,54.351921,3562800
2013-08-30,65.260002,65.589996,64.900002,64.900002,54.068665,2976700
2013-09-03,65.260002,65.580002,65.050003,65.440002,54.518555,1560800
2013-09-04,65.330002,65.680000,65.080002,65.480003,54.551876,1437400
2013-09-05,65.500000,66.639999,65.489998,66.559998,55.451630,3148100
2013-09-06,66.849998,67.000000,66.279999,66.559998,55.451630,2006000
2013-09-09,66.500000,66.699997,66.220001,66.379997,55.301662,1318800
2013-09-10,66.470001,66.559998,65.760002,66.099998,55.068390,1866800
2013-09-11,66.169998,66.339996,65.809998,66.199997,55.151703,2118700
2013-09-12,66.269997,66.349998,65.370003,65.739998,54.768478,1586700
2013-09-13,65.750000,65.910004,65.239998,65.300003,54.401909,1864500
2013-09-16,65.660004,66.199997,65.500000,65.910004,54.910099,1697200
2013-09-17,66.010002,66.449997,66.000000,66.320000,55.251678,1219200
2013-09-18,66.300003,66.500000,66.089996,66.269997,55.210026,1702300
2013-09-19,66.480003,66.480003,65.739998,66.199997,55.151703,1699700
2013-09-20,66.500000,66.500000,65.959999,65.959999,54.951759,5995100
2013-09-23,66.089996,66.419998,66.000000,66.260002,55.201702,1530200
2013-09-24,66.199997,66.800003,66.199997,66.550003,55.443291,1420200
2013-09-25,66.550003,66.800003,66.150002,66.320000,55.251678,1685100
2013-09-26,66.220001,66.750000,66.209999,66.400002,55.318333,1849100
2013-09-27,66.339996,66.709999,66.239998,66.540001,55.434967,1221600
2013-09-30,66.250000,66.900002,66.000000,66.000000,54.985085,2403700
2013-10-01,66.169998,66.769997,66.029999,66.709999,55.576591,1865000
2013-10-02,66.500000,66.599998,66.120003,66.349998,55.276669,1624000
2013-10-03,66.320000,66.480003,65.910004,65.980003,54.968418,1835600
2013-10-04,65.989998,66.410004,65.919998,66.290001,55.226677,1309200
2013-10-07,66.120003,66.790001,66.010002,66.529999,55.426624,2063400
2013-10-08,66.500000,66.750000,66.250000,66.370003,55.293331,1511100
2013-10-09,66.199997,66.800003,66.180000,66.400002,55.318333,2443800
